"indicator","date","rate"
"low","2022-04-29 15:46:00","2312.96"
"close","2022-04-29 15:46:00","2313.45"
"open","2022-04-29 15:45:00","2317.8"
"high","2022-04-29 15:45:00","2319.01"
"low","2022-04-29 15:45:00","2316"
"close","2022-04-29 15:45:00","2317.83"
"open","2022-04-29 15:44:00","2318.95"
"high","2022-04-29 15:44:00","2319.77"
"low","2022-04-29 15:44:00","2318"
"close","2022-04-29 15:44:00","2319.49"
"open","2022-04-29 15:43:00","2318.86"
"high","2022-04-29 15:43:00","2320.05"
"low","2022-04-29 15:43:00","2318.08"
"close","2022-04-29 15:43:00","2318.14"
"open","2022-04-29 15:42:00","2322.07"
"high","2022-04-29 15:42:00","2322.07"
"low","2022-04-29 15:42:00","2319.88"
"close","2022-04-29 15:42:00","2320.07"
"open","2022-04-29 15:41:00","2319.68"
"high","2022-04-29 15:41:00","2322.28"
"low","2022-04-29 15:41:00","2319.68"
"close","2022-04-29 15:41:00","2322.28"
"open","2022-04-29 15:40:00","2319.48"
"high","2022-04-29 15:40:00","2322.88"
"low","2022-04-29 15:40:00","2319.48"
"close","2022-04-29 15:40:00","2321.11"
"open","2022-04-29 15:39:00","2318.67"
"high","2022-04-29 15:39:00","2320.6"
"low","2022-04-29 15:39:00","2317.03"
"close","2022-04-29 15:39:00","2319.22"
"open","2022-04-29 15:37:00","2319.39"
"high","2022-04-29 15:37:00","2321.15"
"low","2022-04-29 15:37:00","2318.31"
"close","2022-04-29 15:37:00","2319.75"
"open","2022-04-29 15:36:00","2321.52"
"high","2022-04-29 15:36:00","2321.67"
"low","2022-04-29 15:36:00","2319.01"
"close","2022-04-29 15:36:00","2319.32"
"open","2022-04-29 15:35:00","2324.11"
"high","2022-04-29 15:35:00","2324.11"
"low","2022-04-29 15:35:00","2322.65"
"close","2022-04-29 15:35:00","2322.81"
"open","2022-04-29 15:34:00","2321.98"
"high","2022-04-29 15:34:00","2321.98"
"low","2022-04-29 15:34:00","2320.95"
"close","2022-04-29 15:34:00","2320.95"
"open","2022-04-29 15:33:00","2317.59"
"high","2022-04-29 15:33:00","2319.37"
"low","2022-04-29 15:33:00","2317.59"
"close","2022-04-29 15:33:00","2319.37"
"open","2022-04-29 15:32:00","2319.03"
"high","2022-04-29 15:32:00","2319.16"
"low","2022-04-29 15:32:00","2318.16"
"close","2022-04-29 15:32:00","2319.16"
"open","2022-04-29 15:31:00","2319.34"
"high","2022-04-29 15:31:00","2319.34"
"low","2022-04-29 15:31:00","2318"
"close","2022-04-29 15:31:00","2318"
"open","2022-04-29 15:30:00","2322.24"
"high","2022-04-29 15:30:00","2322.24"
"low","2022-04-29 15:30:00","2320.09"
"close","2022-04-29 15:30:00","2320.09"
"open","2022-04-29 15:29:00","2320.47"
"high","2022-04-29 15:29:00","2323.4"
"low","2022-04-29 15:29:00","2320.47"
"close","2022-04-29 15:29:00","2323.4"
"open","2022-04-29 15:28:00","2322.44"
"high","2022-04-29 15:28:00","2322.44"
"low","2022-04-29 15:28:00","2320.53"
"close","2022-04-29 15:28:00","2320.53"
"open","2022-04-29 15:27:00","2325.83"
"high","2022-04-29 15:27:00","2325.92"
"low","2022-04-29 15:27:00","2322.87"
"close","2022-04-29 15:27:00","2323"
"open","2022-04-29 15:26:00","2326.01"
"high","2022-04-29 15:26:00","2326.01"
"low","2022-04-29 15:26:00","2325.16"
"close","2022-04-29 15:26:00","2325.16"
"open","2022-04-29 15:25:00","2323.04"
"high","2022-04-29 15:25:00","2324.15"
"low","2022-04-29 15:25:00","2323"
"close","2022-04-29 15:25:00","2323.84"
